Time,Detector Score,Classification,Classification Score,BirdVoxClassify Order,BirdVoxClassify Order Confidence,BirdVoxClassify Family,BirdVoxClassify Family Confidence,BirdVoxClassify Species,BirdVoxClassify Species Confidence
187.99,95.01748657226562,Call.Turdidae,95.91602087020874,Passeriformes,99.99902248382568,Turdidae,95.91602087020874,OTHE,89.18641805648804
189.82,68.14738464355469,Call.Turdidae,98.32520484924316,Passeriformes,98.46804141998291,Turdidae,98.32520484924316,OTHE,99.20312762260437
190.46,99.98999786376953,Call.Turdidae,93.95025968551636,Passeriformes,99.99133348464966,Turdidae,93.95025968551636,OTHE,88.42180371284485
190.76,58.25151824951172,Call.GCTH,60.578453540802,Passeriformes,99.97550249099731,Turdidae,99.66715574264526,GCTH,60.578453540802
201.56,62.95622253417969,Call.Passerellidae,92.21787452697754,Passeriformes,99.96464252471924,Passerellidae,92.21787452697754,OTHE,71.0782527923584
208.77,58.94198226928711,Call.Turdidae,98.16648960113525,Passeriformes,97.33670353889465,Turdidae,98.16648960113525,OTHE,98.83691370487213
209.31,68.27822875976562,Call.Turdidae,93.39128136634827,Passeriformes,99.99196529388428,Turdidae,93.39128136634827,OTHE,97.90200591087341
213.36,99.98999786376953,Call.Turdidae,99.73558783531189,Passeriformes,99.73037242889404,Turdidae,99.73558783531189,OTHE,69.44923996925354
217.11,52.862953186035156,Call.Turdidae,87.70451545715332,Passeriformes,98.81105422973633,Turdidae,87.70451545715332,OTHE,98.8646388053894
218.98,57.254966735839844,Call.Turdidae,80.56873679161072,Passeriformes,99.98587369918823,Turdidae,80.56873679161072,OTHE,99.26682710647583
219.57,57.28693389892578,Call.Turdidae,99.89042282104492,Passeriformes,96.47047519683838,Turdidae,99.89042282104492,OTHE,94.4316565990448
219.67000000000002,61.490997314453125,Call.SWTH,84.80746150016785,Passeriformes,99.97572898864746,Turdidae,99.90542531013489,SWTH,84.80746150016785
221.74,64.30349731445312,Call.Turdidae,99.67233538627625,Passeriformes,99.82194304466248,Turdidae,99.67233538627625,OTHE,53.48915159702301
222.53,56.557552337646484,Call.Turdidae,99.20457601547241,Passeriformes,99.97009038925171,Turdidae,99.20457601547241,OTHE,97.32100069522858
227.42000000000002,54.16154861450195,Call.Turdidae,99.55357313156128,Passeriformes,70.0960099697113,Turdidae,99.55357313156128,OTHE,93.26799511909485
228.31,99.98999786376953,Call.Passerellidae,86.37235164642334,Passeriformes,99.68259334564209,Passerellidae,86.37235164642334,OTHE,91.765096783638
230.73,65.92007446289062,Call.Turdidae,97.11753129959106,Passeriformes,98.84552955627441,Turdidae,97.11753129959106,OTHE,99.68857169151306
230.97,69.81536865234375,Call.Turdidae,89.99099731445312,Passeriformes,99.67677593231201,Turdidae,89.99099731445312,OTHE,98.59870374202728
233.39,59.45896911621094,Call.Turdidae,97.27487564086914,Passeriformes,98.00255298614502,Turdidae,97.27487564086914,OTHE,99.15719926357269
234.62,62.46955871582031,Call.Turdidae,98.43096733093262,Passeriformes,99.96235370635986,Turdidae,98.43096733093262,OTHE,98.49141836166382
237.53,66.25532531738281,Call.Turdidae,73.15504550933838,Passeriformes,99.98631477355957,Turdidae,73.15504550933838,OTHE,99.85986948013306
239.36,61.14808654785156,Call.Passeriformes,99.15109872817993,Passeriformes,99.15109872817993,other,76.95895433425903,OTHE,76.95895433425903
248.83,91.6485595703125,Call.Turdidae,91.31185412406921,Passeriformes,76.22790336608887,Turdidae,91.31185412406921,OTHE,99.94418323040009
249.03,99.98999786376953,Call.Turdidae,99.90062117576599,Passeriformes,99.46562051773071,Turdidae,99.90062117576599,OTHE,95.6536203622818
249.48,57.882442474365234,Call.Turdidae,97.9424774646759,Passeriformes,99.40495491027832,Turdidae,97.9424774646759,OTHE,96.45805656909943
256.63,56.680049896240234,Call.Turdidae,99.97067451477051,Passeriformes,93.0607557296753,Turdidae,99.97067451477051,OTHE,90.66698253154755
262.9,53.58243179321289,Call.Turdidae,98.49259853363037,Passeriformes,99.71880912780762,Turdidae,98.49259853363037,OTHE,97.6688414812088
315.45,58.30628967285156,Call.Turdidae,94.67805624008179,Passeriformes,98.09496402740479,Turdidae,94.67805624008179,OTHE,98.67055714130402
319.0,61.220703125,Call.Turdidae,97.26593494415283,Passeriformes,86.22270822525024,Turdidae,97.26593494415283,OTHE,94.87985968589783
326.45,50.171226501464844,Call.Turdidae,50.02465844154358,Passeriformes,81.38964176177979,Turdidae,50.02465844154358,OTHE,99.48797821998596
336.32,58.475364685058594,Call.Turdidae,95.6667423248291,Passeriformes,99.98757839202881,Turdidae,95.6667423248291,OTHE,94.44746375083923
339.18,62.03399658203125,Call.Passerellidae,67.30285286903381,Passeriformes,96.48942351341248,Passerellidae,67.30285286903381,OTHE,94.18755769729614
355.65999999999997,61.22453308105469,Call.Passeriformes,97.46001958847046,Passeriformes,97.46001958847046,other,67.0703113079071,OTHE,67.0703113079071
374.95,59.849571228027344,Call.Turdidae,99.45065975189209,Passeriformes,99.8409628868103,Turdidae,99.45065975189209,OTHE,67.38944947719574
383.24,57.571170806884766,Call.Turdidae,93.97863745689392,Passeriformes,99.60720539093018,Turdidae,93.97863745689392,OTHE,99.49252009391785
384.57,55.96257781982422,Call.Turdidae,81.09662532806396,Passeriformes,99.64739084243774,Turdidae,81.09662532806396,OTHE,99.06725883483887
386.55,66.48190307617188,Call.Turdidae,99.4405448436737,Passeriformes,99.85657334327698,Turdidae,99.4405448436737,OTHE,87.68945932388306
398.79,50.056053161621094,Call.Turdidae,97.809237241745,Passeriformes,85.08808612823486,Turdidae,97.809237241745,OTHE,91.86844825744629
474.97,57.53162384033203,Call.Turdidae,97.59207963943481,Passeriformes,99.83115196228027,Turdidae,97.59207963943481,OTHE,98.03972542285919
